,url,start,end,subtitle
3109,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:12:12,940","00:12:15,969",그 6개월 동안 매일 파업홍보 영상을 어떻게 찍어야 될까?
3111,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:12:18,339","00:12:20,899",저는 그때 파업 영상도 춤을 췄습니다
3120,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:12:49,711","00:12:52,889",화제의 동영상이 되었죠 조회 수 30만을 넘기고
3122,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:12:54,791","00:12:59,771",이야~ 세상에 파업 영상을 이런 식으로 만들 수도 있구나
6147,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:00:21,406","00:00:24,894",여러분들은 이제 세상을 바꾸는 시간을 영상으로만 보시잖아요.
6148,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:00:24,894","00:00:28,577",영상에서는 제 모습이 한번도 보이지 않으셨겠지만
6401,https://www.youtube.com/watch?v=1Y4fnr-mrGw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=25,"00:15:05,741","00:15:08,697",영상 : 오종철씨는 세대 화합과 공감을 이끌어내는
6409,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:00:21,406","00:00:24,894",여러분들은 이제 세상을 바꾸는 시간을 영상으로만 보시잖아요.
6410,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:00:24,894","00:00:28,577",영상에서는 제 모습이 한번도 보이지 않으셨겠지만
6663,https://www.youtube.com/watch?v=hq8QMn33F-s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=26,"00:15:05,741","00:15:08,697",영상 : 오종철씨는 세대 화합과 공감을 이끌어내는
8045,https://www.youtube.com/watch?v=E_drRaOKQEk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=33,"00:01:04,111","00:01:07,552",관람객은 <i>텔레프레젠스(실시간  홀로그램 영상합성)</i> 라는기술을 통해서
8053,https://www.youtube.com/watch?v=E_drRaOKQEk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=33,"00:01:34,921","00:01:36,798",또 다른 영상을 한번 보시겠습니다
8054,https://www.youtube.com/watch?v=E_drRaOKQEk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=33,"00:01:37,678","00:01:41,785",이 영상은 증강현실이라는 기술을 활용을 해서
8085,https://www.youtube.com/watch?v=E_drRaOKQEk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=33,"00:03:33,255","00:03:36,922","가상현실이라든가 3D 입체 영상이라든가, 홀로그램이라든가"
8130,https://www.youtube.com/watch?v=E_drRaOKQEk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=33,"00:06:26,876","00:06:31,328",보시는 영상은 고소 공포증이 있는  환자를 치료하기 위해서
