songid,title,artist,genre,like,lyric,label
8067378,바람의 빛깔,오연준,Animation,10963,사람들만이 생각 할 수 있다  그렇게 말하지는 마세요  나무와 바위 작은 새들조차  세상을 느낄 수가 있어요  자기와 다른 모습 가졌다고  무시하려고 하지 말아요  그대 마음의 문을 활짝 열면  온 세상이 아름답게 보여요  달을 보고 우는 늑대 울음 소리는  뭘 말하려는 건지 아나요  그윽한 저 깊은 산 속 숨소리와  바람의 빛깔이 뭔지 아나요  바람의 아름다운 저 빛깔이  얼마나 크게 될 지   나무를 베면 알 수가 없죠  서로 다른 피부색을 지녔다해도  그것은 중요한 게 아니죠  바람이 보여주는 빛을 볼수있는  바로 그런 눈이 필요한거죠  아름다운 빛의 세상을 함께 본다면 우리는 하나가 될 수 있어요,휴식.힐링
1905066,올림픽 되고송,에픽 하이,기타,625,K O R E A 생각대로 되는 것이 없다고 목표가 멀어져가고 달리다 지칠 때 우리 함성이 널 지킬께 so fly fly get em up high 생각하는대로 되니까 you are the one 어둠 속에서도 빛나는 거대한 sun 금 나와라 뚝딱 금메달이 되고 은 나와라 뚝딱 은메달이 되고 메달 못따도 최선 다했으면 되고 올림픽 생각대로 하면 되고 생각대로 하면 돼 대한민국 대 한 민 국 지구촌 안에서는 작지만 큰 나라 한반도 모두 물결로 거릴 가득 메워 다시 대단한 감동 아래 꿈은 이뤄지니까 우린 당신의 뒤를 지키니까 당신과 나 우리 열정으로 하나 되어 달려가자고 금 나와라 뚝딱 금메달이 되고 은 나와라 뚝딱 은메달이 되고 메달 못따도 최선 다했으면 되고 올림픽 생각대로 하면 되고 생각대로 하면 돼,휴식.힐링
3836564,동거,"가을방학, 김재훈","Rock,  Folk/Blues",863,눈을 떠보면 또 늦잠이죠 화들짝 놀라서 일어나죠 씻는둥 마는둥 허겁지겁 서둘러 옷 입고 가방 들고 집을 나서죠 식사는 생략 미술 시간에 그려본 우리집 굴뚝에 벽난로가 있죠 동화처럼 물론 지금 나 사는 집은 그냥 흔해빠진 아파트 단지 그리긴 쉽죠 때론 지겹죠 어딘가 멀리 떠나고 싶어 하지만 금세 다시 돌아오겠죠 함께인 이 곳으로 눈을 떠보면 또 늦잠이죠 오늘도 밥 먹긴 틀렸네요 씻는둥 마는둥 허겁지겁 서둘러 옷 입고 가방 들고 집을 나서죠 다녀올게요,휴식.힐링
3836570,이브나,"가을방학, 김재훈","Rock,  Folk/Blues",921,잠든 너의 전화벨이 울릴 때 난 괜히 몇 번 내버려 둬 난 괜히 몇 번 내버려 둬 식은 커피 같은 나의 고백에 몇 차례 버스를 보낸 뒤 넌 내게 이렇게 말했지 난 절대 결단고 수백 날이 지나도 너 밖에 모르는 바보는 안 될 거야 행복함에 눈물 범벅이 될 지라도 너 하나로 숨 막힐 바보는 안 될 거야 그렇겐 안 될 거야 정답지도 살갑지도 않던 눈동자 그 까만 색이 난 못내 좋았는지도 몰라 넌 절대 결단코 수백 날이 지나도 나 밖에 모르는 바보는 안 될 거야 유채꽃 금목서 활짝 핀 하늘 아래 나 하나로 듬뿍한 바보는 안 될 거야 그렇겐 안 될 거야 늦은 봄 눈 같은 나의 고백도 꽃 노래가 될 수 있을까 그런 생각을 해보았어,휴식.힐링
3836565,여배우,"가을방학, 김재훈","Rock,  Folk/Blues",1244,어느 3월의 주말에 친구로부터 한 여자를 소개받기로 한다 이름은 낯설지만 이따금씩 작은 영화에 나온다는 그녀 궁금증을 못 참고서 그녀를 담은 작품을 몇편인가 찾아낸다 늦은 밤 턱을 괴고 나와는 별 인연이 없던 세상을 본다 아 모르는 사람을 본다는 것이 이리 가슴 뛰는 일이었는지 난 내 무릎을 안은 채 웅크린다 마치 영화관에 처음 갔을 때처럼 귀 기울여 듣게 된다 눈 여겨 보게 된다 너무 빨리 지나간다 그러다 툭 멈춘다 아 모르는 사람을 본다는 것이 이리 가슴 뛰는 일이었는지 난 내 손톱을 뜯으며 시계를 본다 마치 오디션장에 가는 것처럼 어느 3월의 주말에 그녀는 내게 정말 말씀 많이 들었다면서 묘한 웃음을 짓고 갑자기 내 얼굴에 눈부신 조명이 비춘다,휴식.힐링
515805,나는 위험한 사랑을 상상한다.,김윤아,Rock,1258,나는 위험한 사랑을 상상한다  위험한 사랑의 상상은 날 위안한다  당신같은 위험한 사람  식품처럼 소모될 열정,스트레스
1937241,고기반찬,달빛요정 역전만루홈런,Rock,563,고기 반찬 고기 반찬 고기 반찬이 나는 좋아 고기 반찬 고기 반찬 고기 반찬이 나는 좋아 아무리 노래가 좋아도 아무리 음악이 좋아도 라면만 먹고는 못살아 든든해야 노랠 하지 고기반찬 고기반찬,스트레스
3780563,Fine,페퍼톤스,Rock,748,See how the raindrop falls down out in the street out in the air wonders begin oh you don't understand everything's gonna be fine,휴식.힐링
1476933,위로,자우림,Rock,1562,누군가 울면 누군가 웃고  누군가 오면 누군가 가고  위로하고 싶지만 딱히 생각이 안나    누가 있으면 누구는 없어  나를 잊으면 넌 기억되고  그런 거 그런 거    누군가 울면 누군가 웃고  너를 반기면 나는 떠나고  그런 거 그런 거,휴식.힐링
5555236,Bamboo,혁오 (hyukoh),Rock,2630,bamboo is the only one of my life it's the best it's my life bamboo is the only one of my life it's the best it's my life bamboo is the only one of my life it's the best it's my life,스트레스
4104947,Almost Blue,소규모 아카시아 밴드,Rock,568,This kind of blue almost   true blue  이 시간의 문을 닫으려네  남아있는 모든 소원을 줍네  This kind of truth utmost   true truth  이 만족의 가장 끝에 서네  보일수록 멈추지 않는 그   blue blue blue  blue 이 시간의 끝에 태어나네 울음의 삶은 보이지를 않네,휴식.힐링
8104385,아래로부터의 혁명,전범선과 양반들,Rock,535,언제까지 그렇게 누워만 있을 건가 번데기처럼 가만히 안된다고 그렇게 말로만 하지 말고 아래로부터 찬찬히 자 한번 엎어보자 어마어마 무시무시하게 대단한  음모가 있는 건가 엄청난 것이 왔구나 피가 거꾸로 솟고 천지가 열리고 돌고 돌고 다시 한번 엎어보자 드디어 올 것이 왔다 우주의 모든 기운이  그대와 나만을 둘러싼다 무서울 것이 없구나 딱 한번만 더 엎어보자,휴식.힐링
5477315,나무,버즈,Rock,14503,왜 자꾸 그래 화를 내며 울지마 내가 미안해 잘 몰라서 그랬어 무슨 일 있었니 왜 그렇게 봐 그런 표정 익숙하지 않아 말 없이 내게 돌아서서 저 길 걸어가면 끝인가 조금씩 넌 멀어져 불안해져 난 잃어버릴까 니 맘 닫혀질까 나는 여기서 내 곁에 머물러 널 원해 가엾게도 난 널 나는 여기서 내 곁에 머물러 널 원해 가엾게도 난 널 난 널 널 원해 가엾게도 난 널,휴식.힐링
5713423,큰새,혁오 (hyukoh),Rock,20502,기억의 기억을 훑어야 해 꽉 잡은 밤하늘을 돌봐야 해 늘 검은 천장으로 여겼더니 달은 열심히 떠올라 보름달을 보여주네 반복에 반복을 더해야 해 아쉬워라 말하진 않을 거야 아 이렇게 지내다 옆을 보니 이젠 다 크고 살기 바뻐 어른 놀이를 하네 쉬어도 쉴 틈은 없어야 해  오늘도 무사히 잘 넘겨야 해 언젠가는 나도 버려질 거야 결국 이러면 우리는 아무 것도 아닌 사람,휴식.힐링
4404267,"새벽, 울고 있는 너에게",레인보우 페이퍼,Rock,518,또 새벽이구나 불면의 밤 불안한 밤 이 커다란 어둠도 이 생각도 끝이 없네 사실 난 오늘 울고 싶었어 모든 게 다 속상했어  이 복잡한 마음은 왜 이리도 끝이 없는지 언젠간 평온해지길 기도하네 부디 이루어지기를 기도해 이 세상에 펼치고 싶었던 꿈들을 다 이룰래 꼭 내가 살아가는 이유 벌써 새벽 다섯 시 또 하루가 시작됐어 오늘은 어제보다 더 강해져야 해 다 다 괜찮을 거야,휴식.힐링
